,D,UD,X,X.1,class,classInt,meanY,meanYmean,meanYstd,newY,order,stdY,InjectionLocation
0,1,0,0,45,B,0,91.5,154.7078042,35.72151607,91.97991849,1,0.707106781,0
1,1,0,1,46,B,0,87.5,154.7078042,35.72151607,87.91261815,2,1.290994449,0
2,1,0,2,47,B,0,88.6,154.7078042,35.72151607,86.55324106,3,3.204163958,0
3,1,0,3,48,B,0,102.5,154.7078042,35.72151607,103.2145488,4,0.707106781,0
4,1,0,4,49,B,0,111,154.7078042,35.72151607,111.2901932,5,1.58113883,0
5,1,0,5,50,B,0,123.5,154.7078042,35.72151607,121.3399248,6,1.870828693,0
6,1,0,6,51,B,0,132,154.7078042,35.72151607,128.9161325,7,2.738612788,0
7,1,0,7,52,B,0,145.25,154.7078042,35.72151607,151.4834794,8,6.765819669,0
8,1,0,8,53,B,0,157.2857143,154.7078042,35.72151607,159.1864707,9,4.680252333,0
9,1,0,9,54,B,0,163,154.7078042,35.72151607,158.5310126,10,3.207134903,0
10,1,0,10,55,B,0,183.5,154.7078042,35.72151607,190.113143,11,4.760952286,0
11,1,0,11,56,B,0,179,154.7078042,35.72151607,177.8284966,12,2.160246899,0
12,1,0,12,57,B,0,171.9444444,154.7078042,35.72151607,164.8183581,13,5.985003044,0
13,1,0,13,58,B,0,172.5,154.7078042,35.72151607,174.6794374,14,2.449489743,0
14,1,0,14,59,B,0,173,154.7078042,35.72151607,172.564187,15,1.58113883,0
15,1,0,15,60,B,0,181.6923077,154.7078042,35.72151607,183.887809,16,4.589564529,0
16,1,0,16,61,B,0,188.5,154.7078042,35.72151607,188.412294,17,0.707106781,0
17,1,0,17,62,B,0,192,154.7078042,35.72151607,198.2073785,18,3.31662479,0
18,1,0,18,63,B,0,191,154.7078042,35.72151607,195.5316601,19,3.31662479,0
19,1,0,19,64,B,0,188.8,154.7078042,35.72151607,191.715053,20,2.387467277,0
20,1,0,20,65,B,0,186.9,154.7078042,35.72151607,192.532985,21,3.784471195,0
21,1,0,21,66,B,0,186.6666667,154.7078042,35.72151607,186.2211433,22,3.16227766,0
22,1,0,22,67,B,0,188,154.7078042,35.72151607,187.1079355,23,2.738612788,0
23,1,0,23,68,B,0,195.3,154.7078042,35.72151607,193.6888433,24,6.207804935,0
24,1,0,24,69,B,0,194.5,154.7078042,35.72151607,200.3748913,25,6.49358658,0
25,1,0,25,70,B,0,198,154.7078042,35.72151607,206.1021011,26,4.472135955,0
26,1,0,26,71,B,0,197.5,154.7078042,35.72151607,197.5979291,27,3.605551275,0
27,1,0,27,72,B,0,198.5,154.7078042,35.72151607,195.2813012,28,3.605551275,0
28,1,0,28,73,B,0,196,154.7078042,35.72151607,196.2140867,29,2.160246899,0
29,1,0,29,74,B,0,181.5714286,154.7078042,35.72151607,182.6267567,30,4.309458037,0
30,1,0,30,75,B,0,172,154.7078042,35.72151607,173.2242123,31,2.160246899,0
31,1,0,31,76,B,0,155.2857143,154.7078042,35.72151607,153.5951473,32,3.638419332,0
32,1,0,32,77,B,0,151,154.7078042,35.72151607,150.8186795,33,2.160246899,0
33,1,0,33,78,B,0,141.8333333,154.7078042,35.72151607,139.7048306,34,4.448356864,0
34,1,0,34,79,B,0,148.6666667,154.7078042,35.72151607,150.8185629,35,2.160246899,0
35,1,0,35,80,B,0,143.8333333,154.7078042,35.72151607,140.3087864,36,2.483277404,0
36,1,0,36,81,B,0,142,154.7078042,35.72151607,141.1426864,37,1.58113883,0
37,1,0,37,82,B,0,143.2222222,154.7078042,35.72151607,142.3713357,38,3.073181486,0
38,1,0,38,83,B,0,140.7142857,154.7078042,35.72151607,139.6589402,39,3.638419332,0
39,1,0,39,84,B,0,133,154.7078042,35.72151607,132.2719496,40,1,0
40,1,0,40,85,B,0,129,154.7078042,35.72151607,130.196052,41,1.58113883,0
41,1,0,41,86,B,0,122.5,154.7078042,35.72151607,118.9926237,42,1.290994449,0
42,1,0,42,87,B,0,115.5,154.7078042,35.72151607,114.6608186,43,1.290994449,0
43,1,0,43,88,B,0,103.5,154.7078042,35.72151607,103.7699118,44,5.916079783,0
44,1,0,44,89,B,0,107.5,154.7078042,35.72151607,101.4128233,45,4.760952286,0
45,2,1,45,90,B,0,97.9,154.7078042,35.72151607,98.42470574,1,6.999206304,0
46,2,1,46,91,B,0,93.11111111,154.7078042,35.72151607,92.77570556,2,2.934469477,0
47,2,1,47,92,B,0,101,154.7078042,35.72151607,101.8919773,3,3.31662479,0
48,2,1,48,93,B,0,101.5,154.7078042,35.72151607,101.0950393,4,3.027650354,0
49,2,1,49,94,B,0,111,154.7078042,35.72151607,111.0632144,5,1.58113883,0
50,2,1,50,95,B,0,123.5,154.7078042,35.72151607,124.3097794,6,3.027650354,0
51,2,1,51,96,B,0,135.5,154.7078042,35.72151607,134.0541572,7,0.707106781,0
52,2,1,52,97,B,0,145,154.7078042,35.72151607,147.6947264,8,2.160246899,0
53,2,1,53,98,B,0,153.5,154.7078042,35.72151607,154.8637838,9,1.290994449,0
54,2,1,54,99,B,0,158,154.7078042,35.72151607,160.0085757,10,2.738612788,0
55,2,1,55,100,B,0,168.5,154.7078042,35.72151607,163.8963653,11,4.183300133,0
56,2,1,56,101,B,0,181.8,154.7078042,35.72151607,173.699102,12,4.802776974,0
57,2,1,57,102,B,0,190,154.7078042,35.72151607,191.9543672,13,3.894440482,0
