,X,meanY,stdY,meanYmean,meanYstd,X.1,D,order,class,classInt,newY,UD
0,0,91.5,0.707106781187,154.707804229,35.7215160728,45,1,1.0,B,0,91.1179441178,0
1,1,87.5,1.29099444874,154.707804229,35.7215160728,46,1,2.0,B,0,87.2702179225,0
2,2,88.6,3.20416395752,154.707804229,35.7215160728,47,1,3.0,B,0,89.9027877246,0
3,3,102.5,0.707106781187,154.707804229,35.7215160728,48,1,4.0,B,0,102.022914351,0
4,4,111.0,1.58113883008,154.707804229,35.7215160728,49,1,5.0,B,0,107.788778284,0
5,5,123.5,1.87082869339,154.707804229,35.7215160728,50,1,6.0,B,0,119.967955388,0
6,6,132.0,2.73861278753,154.707804229,35.7215160728,51,1,7.0,B,0,130.401350249,0
7,7,145.25,6.76581966871,154.707804229,35.7215160728,52,1,8.0,B,0,143.771563965,0
8,8,157.285714286,4.68025233345,154.707804229,35.7215160728,53,1,9.0,B,0,162.325568449,0
9,9,163.0,3.20713490295,154.707804229,35.7215160728,54,1,10.0,B,0,160.094324649,0
10,10,183.5,4.7609522857,154.707804229,35.7215160728,55,1,11.0,B,0,182.538271393,0
11,11,179.0,2.16024689947,154.707804229,35.7215160728,56,1,12.0,B,0,177.842762267,0
12,12,171.944444444,5.9850030441,154.707804229,35.7215160728,57,1,13.0,B,0,183.398348394,0
13,13,172.5,2.44948974278,154.707804229,35.7215160728,58,1,14.0,B,0,169.393211865,0
14,14,173.0,1.58113883008,154.707804229,35.7215160728,59,1,15.0,B,0,174.051864708,0
15,15,181.692307692,4.58956452881,154.707804229,35.7215160728,60,1,16.0,B,0,180.436199964,0
16,16,188.5,0.707106781187,154.707804229,35.7215160728,61,1,17.0,B,0,188.717101855,0
17,17,192.0,3.31662479036,154.707804229,35.7215160728,62,1,18.0,B,0,191.980789203,0
18,18,191.0,3.31662479036,154.707804229,35.7215160728,63,1,19.0,B,0,195.01582219,0
19,19,188.8,2.38746727726,154.707804229,35.7215160728,64,1,20.0,B,0,191.608234364,0
20,20,186.9,3.78447119453,154.707804229,35.7215160728,65,1,21.0,B,0,186.96840979,0
21,21,186.666666667,3.16227766017,154.707804229,35.7215160728,66,1,22.0,B,0,185.227312076,0
22,22,188.0,2.73861278753,154.707804229,35.7215160728,67,1,23.0,B,0,186.742730289,0
23,23,195.3,6.20780493454,154.707804229,35.7215160728,68,1,24.0,B,0,193.278729342,0
24,24,194.5,6.49358657959,154.707804229,35.7215160728,69,1,25.0,B,0,204.566405646,0
25,25,198.0,4.472135955,154.707804229,35.7215160728,70,1,26.0,B,0,198.394530926,0
26,26,197.5,3.60555127546,154.707804229,35.7215160728,71,1,27.0,B,0,200.130272646,0
27,27,198.5,3.60555127546,154.707804229,35.7215160728,72,1,28.0,B,0,199.39680723,0
28,28,196.0,2.16024689947,154.707804229,35.7215160728,73,1,29.0,B,0,195.056739808,0
29,29,181.571428571,4.30945803686,154.707804229,35.7215160728,74,1,30.0,B,0,186.901987152,0
30,30,172.0,2.16024689947,154.707804229,35.7215160728,75,1,31.0,B,0,169.063514575,0
31,31,155.285714286,3.63841933236,154.707804229,35.7215160728,76,1,32.0,B,0,154.990960779,0
32,32,151.0,2.16024689947,154.707804229,35.7215160728,77,1,33.0,B,0,153.376526068,0
33,33,141.833333333,4.44835686382,154.707804229,35.7215160728,78,1,34.0,B,0,145.29336703,0
34,34,148.666666667,2.16024689947,154.707804229,35.7215160728,79,1,35.0,B,0,147.228953547,0
35,35,143.833333333,2.48327740429,154.707804229,35.7215160728,80,1,36.0,B,0,143.230085935,0
36,36,142.0,1.58113883008,154.707804229,35.7215160728,81,1,37.0,B,0,139.094832472,0
37,37,143.222222222,3.07318148576,154.707804229,35.7215160728,82,1,38.0,B,0,140.13279921,0
38,38,140.714285714,3.63841933236,154.707804229,35.7215160728,83,1,39.0,B,0,141.823855979,0
39,39,133.0,1.0,154.707804229,35.7215160728,84,1,40.0,B,0,133.057150549,0
40,40,129.0,1.58113883008,154.707804229,35.7215160728,85,1,41.0,B,0,128.722082306,0
41,41,122.5,1.29099444874,154.707804229,35.7215160728,86,1,42.0,B,0,122.386163692,0
42,42,115.5,1.29099444874,154.707804229,35.7215160728,87,1,43.0,B,0,116.345145967,0
43,43,103.5,5.9160797831,154.707804229,35.7215160728,88,1,44.0,B,0,99.9268582394,0
44,44,107.5,4.7609522857,154.707804229,35.7215160728,89,1,45.0,B,0,100.342630676,0
45,45,97.9,6.99920630421,154.707804229,35.7215160728,90,2,1.0,B,0,102.5735688,1
46,46,93.1111111111,2.93446947694,154.707804229,35.7215160728,91,2,2.0,B,0,91.002609058,1
47,47,101.0,3.31662479036,154.707804229,35.7215160728,92,2,3.0,B,0,102.288881982,1
48,48,101.5,3.0276503541,154.707804229,35.7215160728,93,2,4.0,B,0,97.6326091915,1
49,49,111.0,1.58113883008,154.707804229,35.7215160728,94,2,5.0,B,0,110.300836591,1
50,50,123.5,3.0276503541,154.707804229,35.7215160728,95,2,6.0,B,0,121.810462744,1
