,X,newY
0,0,91.97991849
1,1,87.91261815
2,2,86.55324106
3,3,103.2145488
4,4,111.2901932
5,5,121.3399248
6,6,128.9161325
7,7,151.4834794
8,8,159.1864707
9,9,158.5310126
10,10,190.113143
11,11,177.8284966
12,12,164.8183581
13,13,174.6794374
14,14,172.564187
15,15,183.887809
16,16,188.412294
17,17,198.2073785
18,18,195.5316601
19,19,191.715053
20,20,192.532985
21,21,186.2211433
22,22,187.1079355
23,23,193.6888433
24,24,200.3748913
25,25,206.1021011
26,26,197.5979291
27,27,195.2813012
28,28,196.2140867
29,29,182.6267567
30,30,173.2242123
31,31,153.5951473
32,32,150.8186795
33,33,139.7048306
34,34,150.8185629
35,35,140.3087864
36,36,141.1426864
37,37,142.3713357
38,38,139.6589402
39,39,132.2719496
40,40,130.196052
41,41,118.9926237
42,42,114.6608186
43,43,103.7699118
44,44,101.4128233
45,45,98.42470574
46,46,92.77570556
47,47,101.8919773
48,48,101.0950393
49,49,111.0632144
50,50,124.3097794
51,51,134.0541572
52,52,147.6947264
53,53,154.8637838
54,54,160.0085757
55,55,163.8963653
56,56,173.699102
57,57,191.9543672
58,58,183.2593395
59,59,184.8331241
60,60,186.8487138
61,61,185.0710236
62,62,193.5742636
63,63,181.4773218
64,64,180.228765
65,65,174.4161142
66,66,174.5517255
67,67,170.2940441
68,68,176.9335198
69,69,190.9644495
70,70,197.3372588
71,71,192.9024758
72,72,171.6129593
73,73,167.5802671
74,74,168.5986751
75,75,154.8383638
76,76,146.8671309
77,77,143.028444
78,78,142.546696
79,79,128.9600608
80,80,117.7248216
81,81,117.2204155
82,82,104.62093
83,83,100.6333021
84,84,99.7196084
85,85,96.4778205
86,86,97.40459989
87,87,107.2290695
88,88,110.3928385
89,89,114.3197453
90,90,117.5700344
91,91,119.0672843
92,92,125.5783896
93,93,130.9893108
94,94,154.6949063
95,95,152.0854343
96,96,157.1644085
97,97,150.2891862
98,98,158.9405402
99,99,164.4700666
100,100,158.8136803
101,101,155.6040543
